"","Var1","Var2","Var3","Freq"
"723","-47.5","-52.5","1995",0
"724","-42.5","-52.5","1995",0
"725","-37.5","-52.5","1995",8
"726","-32.5","-52.5","1995",376
"727","-27.5","-52.5","1995",0
"728","-22.5","-52.5","1995",0
"729","-17.5","-52.5","1995",0
"730","-12.5","-52.5","1995",0
"731","-7.5","-52.5","1995",0
"732","-2.5","-52.5","1995",0
"733","2.5","-52.5","1995",0
"734","7.5","-52.5","1995",0
"735","12.5","-52.5","1995",0
"736","-57.5","-47.5","1995",0
"737","-52.5","-47.5","1995",0
"738","-47.5","-47.5","1995",0
"739","-42.5","-47.5","1995",2
"740","-37.5","-47.5","1995",79
"741","-32.5","-47.5","1995",1190
"742","-27.5","-47.5","1995",784
"743","-22.5","-47.5","1995",2
"744","-17.5","-47.5","1995",0
"745","-12.5","-47.5","1995",0
"746","-7.5","-47.5","1995",0
"747","-2.5","-47.5","1995",0
"748","2.5","-47.5","1995",1
"749","7.5","-47.5","1995",0
"750","12.5","-47.5","1995",0
"751","-57.5","-42.5","1995",0
"752","-52.5","-42.5","1995",0
"753","-47.5","-42.5","1995",2
"754","-42.5","-42.5","1995",0
"755","-37.5","-42.5","1995",41
"756","-32.5","-42.5","1995",46
"757","-27.5","-42.5","1995",853
"758","-22.5","-42.5","1995",285
"759","-17.5","-42.5","1995",0
"760","-12.5","-42.5","1995",0
"761","-7.5","-42.5","1995",0
"762","-2.5","-42.5","1995",0
"763","2.5","-42.5","1995",8
"764","7.5","-42.5","1995",1
"765","12.5","-42.5","1995",0
"766","-57.5","-37.5","1995",0
"767","-52.5","-37.5","1995",0
"768","-47.5","-37.5","1995",0
"769","-42.5","-37.5","1995",2
"770","-37.5","-37.5","1995",1
"771","-32.5","-37.5","1995",77
"772","-27.5","-37.5","1995",124
"773","-22.5","-37.5","1995",125
"774","-17.5","-37.5","1995",255
"775","-12.5","-37.5","1995",435
"776","-7.5","-37.5","1995",0
"777","-2.5","-37.5","1995",973
"778","2.5","-37.5","1995",416
"779","7.5","-37.5","1995",66
